sample_id,reference,bam_s3_path,bai_s3_path,md5_s3_path
HG00097,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/alignments/CHM13v2/hifi_reads/HG00097.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/alignments/CHM13v2/hifi_reads/HG00097.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/alignments/CHM13v2/hifi_reads/HG00097.CHM13v2.sorted.bam.md5
HG00097,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/alignments/GRCh38_no_alt/hifi_reads/HG00097.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/alignments/GRCh38_no_alt/hifi_reads/HG00097.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/alignments/GRCh38_no_alt/hifi_reads/HG00097.GRCh38_no_alt.sorted.bam.md5
HG00099,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/alignments/CHM13v2/hifi_reads/HG00099.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/alignments/CHM13v2/hifi_reads/HG00099.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/alignments/CHM13v2/hifi_reads/HG00099.CHM13v2.sorted.bam.md5
HG00099,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/alignments/GRCh38_no_alt/hifi_reads/HG00099.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/alignments/GRCh38_no_alt/hifi_reads/HG00099.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/alignments/GRCh38_no_alt/hifi_reads/HG00099.GRCh38_no_alt.sorted.bam.md5
HG00126,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/alignments/CHM13v2/hifi_reads/HG00126.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/alignments/CHM13v2/hifi_reads/HG00126.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/alignments/CHM13v2/hifi_reads/HG00126.CHM13v2.sorted.bam.md5
HG00126,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/alignments/GRCh38_no_alt/hifi_reads/HG00126.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/alignments/GRCh38_no_alt/hifi_reads/HG00126.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/alignments/GRCh38_no_alt/hifi_reads/HG00126.GRCh38_no_alt.sorted.bam.md5
HG00128,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/alignments/CHM13v2/hifi_reads/HG00128.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/alignments/CHM13v2/hifi_reads/HG00128.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/alignments/CHM13v2/hifi_reads/HG00128.CHM13v2.sorted.bam.md5
HG00128,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/alignments/GRCh38_no_alt/hifi_reads/HG00128.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/alignments/GRCh38_no_alt/hifi_reads/HG00128.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/alignments/GRCh38_no_alt/hifi_reads/HG00128.GRCh38_no_alt.sorted.bam.md5
HG00133,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/alignments/CHM13v2/hifi_reads/HG00133.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/alignments/CHM13v2/hifi_reads/HG00133.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/alignments/CHM13v2/hifi_reads/HG00133.CHM13v2.sorted.bam.md5
HG00133,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/alignments/GRCh38_no_alt/hifi_reads/HG00133.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/alignments/GRCh38_no_alt/hifi_reads/HG00133.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/alignments/GRCh38_no_alt/hifi_reads/HG00133.GRCh38_no_alt.sorted.bam.md5
