sample_id,dest_filename,s3_path
HG00097,HG00097.m84046_230716_051716_s3.hifi_reads.bc2086.bam,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2086.bam
HG00097,HG00097.m84046_230716_054822_s4.hifi_reads.bc2086.bam,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2086.bam
HG00097,HG00097.m84046_230718_223822_s1.hifi_reads.bc2086.bam,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2086.bam
HG00099,HG00099.m54329U_220825_174247.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220825_174247.dc.q20.fastq.gz
HG00099,HG00099.m54329U_220827_143814.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220827_143814.dc.q20.fastq.gz
HG00099,HG00099.m54329U_220829_095708.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220829_095708.dc.q20.fastq.gz
HG00099,HG00099.m84046_230517_211630_s4.hifi_reads.bc2012.bam,s3://human-pangenomics/submissions/4f8c8e63-dfd3-4f90-965f-8a8cf3ee4de9--UW_HPRC_HiFi_Y4_AND_Y3_Topoff/HG00099/m84046_230517_211630_s4.hifi_reads.bc2012.bam
HG00126,HG00126.m84046_230602_203207_s4.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2043.bam
HG00126,HG00126.m84046_230617_043254_s3.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2043.bam
HG00126,HG00126.m84046_230617_050400_s4.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2043.bam
HG00126,HG00126.m84046_230621_231827_s1.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2043.bam
HG00126,HG00126.m84046_230621_234848_s2.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2043.bam
HG00128,HG00128.m84046_230602_203207_s4.hifi_reads.bc2044.bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2044.bam
HG00128,HG00128.m84046_230617_043254_s3.hifi_reads.bc2044.bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2044.bam
HG00128,HG00128.m84046_230617_050400_s4.hifi_reads.bc2044.bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2044.bam
HG00128,HG00128.m84046_230630_233157_s3.bc2069--bc2069.bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230630_233157_s3.bc2069--bc2069.bam
HG00133,HG00133.m84046_230602_203207_s4.hifi_reads.bc2045.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2045.bam
HG00133,HG00133.m84046_230617_043254_s3.hifi_reads.bc2045.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2045.bam
