sample_id,reference,file_type,s3_path
HG002,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG002/variant_calls/CHM13v2/merged/HG002.CHM13v2.autosomes.merged.vcf.gz
HG002,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG002/variant_calls/CHM13v2/merged/HG002.CHM13v2.autosomes.merged.vcf.gz.tbi
HG002,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG002/variant_calls/GRCh38_no_alt/merged/HG002.GRCh38_no_alt.autosomes.merged.vcf.gz
HG002,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG002/variant_calls/GRCh38_no_alt/merged/HG002.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG005,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG005/variant_calls/CHM13v2/merged/HG005.CHM13v2.autosomes.merged.vcf.gz
HG005,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG005/variant_calls/CHM13v2/merged/HG005.CHM13v2.autosomes.merged.vcf.gz.tbi
HG005,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG005/variant_calls/GRCh38_no_alt/merged/HG005.GRCh38_no_alt.autosomes.merged.vcf.gz
HG005,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG005/variant_calls/GRCh38_no_alt/merged/HG005.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00097,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/variant_calls/CHM13v2/merged/HG00097.CHM13v2.autosomes.merged.vcf.gz
HG00097,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/variant_calls/CHM13v2/merged/HG00097.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00097,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/variant_calls/GRCh38_no_alt/merged/HG00097.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00097,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/variant_calls/GRCh38_no_alt/merged/HG00097.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00099,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/variant_calls/CHM13v2/merged/HG00099.CHM13v2.autosomes.merged.vcf.gz
HG00099,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/variant_calls/CHM13v2/merged/HG00099.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00099,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/variant_calls/GRCh38_no_alt/merged/HG00099.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00099,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/variant_calls/GRCh38_no_alt/merged/HG00099.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00126,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/variant_calls/CHM13v2/merged/HG00126.CHM13v2.autosomes.merged.vcf.gz
HG00126,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/variant_calls/CHM13v2/merged/HG00126.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00126,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/variant_calls/GRCh38_no_alt/merged/HG00126.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00126,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/variant_calls/GRCh38_no_alt/merged/HG00126.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00128,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/variant_calls/CHM13v2/merged/HG00128.CHM13v2.autosomes.merged.vcf.gz
HG00128,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/variant_calls/CHM13v2/merged/HG00128.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00128,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/variant_calls/GRCh38_no_alt/merged/HG00128.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00128,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/variant_calls/GRCh38_no_alt/merged/HG00128.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00133,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/variant_calls/CHM13v2/merged/HG00133.CHM13v2.autosomes.merged.vcf.gz
