sample,sex,hap1,hap2
HG00097,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00097/assemblies/HG00097_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00097/assemblies/HG00097_hap2_hprc_r2_v1.0.1.fa.gz
HG00099,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00099/assemblies/HG00099_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00099/assemblies/HG00099_hap2_hprc_r2_v1.0.1.fa.gz
HG00126,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00126/assemblies/HG00126_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00126/assemblies/HG00126_hap2_hprc_r2_v1.0.1.fa.gz
HG00128,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00128/assemblies/HG00128_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00128/assemblies/HG00128_hap2_hprc_r2_v1.0.1.fa.gz
HG00133,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00133/assemblies/HG00133_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00133/assemblies/HG00133_hap2_hprc_r2_v1.0.1.fa.gz
HG00140,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00140/assemblies/HG00140_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00140/assemblies/HG00140_hap2_hprc_r2_v1.0.1.fa.gz
HG00146,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00146/assemblies/HG00146_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00146/assemblies/HG00146_hap2_hprc_r2_v1.0.1.fa.gz
HG00232,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00232/assemblies/HG00232_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00232/assemblies/HG00232_hap2_hprc_r2_v1.0.1.fa.gz
HG00235,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00235/assemblies/HG00235_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00235/assemblies/HG00235_hap2_hprc_r2_v1.0.1.fa.gz
HG00253,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00253/assemblies/HG00253_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00253/assemblies/HG00253_hap2_hprc_r2_v1.0.1.fa.gz
